classification_1,classification_2,classification_3,HOMEOWNER_DESC,classification_5,classification_4,KID_CATEGORY_DESC,household_key
Age Group4,Y,Level8,Homeowner,Group4,4,2,1333
Age Group4,Y,Level5,Homeowner,Group4,4,2,1337
Age Group3,Y,Level6,Homeowner,Group5,2,None/Unknown,1352
Age Group6,Z,Level2,Homeowner,Group5,2,None/Unknown,1354
Age Group5,X,Level3,Homeowner,Group5,2,None/Unknown,1357
Age Group2,Y,Level2,Unknown,Group1,2,1,1363
Age Group6,Z,Level7,Homeowner,Group3,1,None/Unknown,1364
Age Group3,Y,Level6,Homeowner,Group4,3,1,1367
Age Group2,Z,Level1,Probable Renter,Group2,1,None/Unknown,1369
Age Group6,Y,Level3,Homeowner,Group5,2,None/Unknown,1370
Age Group5,Y,Level5,Homeowner,Group6,1,None/Unknown,1376
Age Group2,Y,Level7,Unknown,Group3,1,None/Unknown,1378
Age Group4,Y,Level5,Homeowner,Group5,2,None/Unknown,1382
Age Group3,X,Level7,Unknown,Group4,3,1,1388
Age Group6,X,Level7,Homeowner,Group3,2,None/Unknown,1389
Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown,1391
Age Group3,Z,Level9,Homeowner,Group3,1,None/Unknown,1393
Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown,1394
Age Group6,X,Level8,Homeowner,Group5,2,None/Unknown,1396
Age Group4,Z,Level4,Renter,Group3,1,None/Unknown,1397
Age Group5,Y,Level2,Unknown,Group2,1,None/Unknown,1402
Age Group4,X,Level5,Homeowner,Group4,3,1,1412
Age Group2,X,Level4,Homeowner,Group4,3,1,1418
Age Group3,Y,Level4,Unknown,Group3,1,None/Unknown,1419
Age Group3,X,Level5,Homeowner,Group5,2,None/Unknown,1421
Age Group4,Y,Level2,Unknown,Group2,1,None/Unknown,1423
Age Group1,Z,Level5,Unknown,Group4,3,1,1425
Age Group5,Y,Level4,Unknown,Group5,2,None/Unknown,1428
Age Group4,Z,Level4,Renter,Group3,1,None/Unknown,1429
Age Group3,X,Level4,Homeowner,Group4,3,1,1430
Age Group2,X,Level2,Homeowner,Group1,3,1,1437
Age Group4,Y,Level1,Unknown,Group3,1,None/Unknown,1438
Age Group3,Y,Level9,Unknown,Group5,2,None/Unknown,1443
Age Group3,X,Level1,Homeowner,Group5,2,None/Unknown,1445
Age Group4,X,Level8,Homeowner,Group1,5+,3+,1451
Age Group4,X,Level3,Unknown,Group4,3,1,1452
Age Group4,X,Level8,Homeowner,Group4,3,1,1453
Age Group6,X,Level6,Homeowner,Group5,2,None/Unknown,1454
Age Group3,Y,Level3,Homeowner,Group5,2,None/Unknown,1461
Age Group2,X,Level5,Renter,Group5,2,None/Unknown,1462
Age Group3,X,Level5,Probable Owner,Group4,4,2,1467
Age Group6,X,Level6,Homeowner,Group5,2,None/Unknown,1468
Age Group4,Y,Level4,Unknown,Group3,1,None/Unknown,1470
Age Group3,Y,Level5,Homeowner,Group6,1,None/Unknown,1474
Age Group2,Z,Level5,Homeowner,Group2,1,None/Unknown,1475
Age Group4,Y,Level2,Probable Renter,Group6,1,None/Unknown,1479
Age Group1,Y,Level4,Unknown,Group2,1,None/Unknown,1481
Age Group1,Y,Level1,Unknown,Group6,1,None/Unknown,1483
Age Group1,X,Level4,Homeowner,Group5,2,None/Unknown,1484
Age Group3,Y,Level5,Homeowner,Group2,1,None/Unknown,1485
Age Group2,X,Level5,Probable Owner,Group3,2,None/Unknown,1488
Age Group6,Y,Level4,Homeowner,Group5,2,None/Unknown,1491
Age Group6,X,Level2,Homeowner,Group5,2,None/Unknown,1492
Age Group6,Z,Level3,Unknown,Group3,1,None/Unknown,1494
Age Group5,X,Level2,Homeowner,Group5,2,None/Unknown,1499
Age Group4,Y,Level3,Unknown,Group3,1,None/Unknown,1505
Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown,1509
Age Group4,X,Level5,Homeowner,Group4,4,2,1517
Age Group4,X,Level4,Homeowner,Group5,2,None/Unknown,1524
Age Group2,X,Level5,Homeowner,Group5,2,None/Unknown,1527
Age Group3,Z,Level8,Unknown,Group3,1,None/Unknown,1528
Age Group4,Y,Level5,Unknown,Group2,1,None/Unknown,1529
Age Group2,X,Level6,Renter,Group4,3,1,1534
Age Group4,Y,Level5,Unknown,Group6,1,None/Unknown,1536
Age Group1,X,Level4,Renter,Group4,3,1,1537
Age Group4,Y,Level2,Unknown,Group4,4,2,1540
Age Group3,Y,Level5,Unknown,Group6,1,None/Unknown,1541
Age Group4,X,Level4,Homeowner,Group5,2,None/Unknown,1545
Age Group4,Y,Level2,Homeowner,Group6,1,None/Unknown,1549
Age Group4,X,Level4,Homeowner,Group5,2,None/Unknown,1556
Age Group2,X,Level7,Renter,Group1,4,2,1557
Age Group4,X,Level6,Homeowner,Group6,3,1,1563
Age Group3,Y,Level6,Homeowner,Group5,2,None/Unknown,1566
Age Group4,Y,Level2,Renter,Group2,1,None/Unknown,1567
Age Group5,Z,Level4,Homeowner,Group3,1,None/Unknown,1568
Age Group3,X,Level6,Homeowner,Group5,2,None/Unknown,1572
Age Group4,Y,Level2,Unknown,Group5,2,None/Unknown,1578
Age Group1,Z,Level5,Unknown,Group5,2,None/Unknown,1580
Age Group4,Z,Level9,Homeowner,Group3,1,None/Unknown,1585
Age Group3,Y,Level5,Homeowner,Group6,1,None/Unknown,1588
Age Group2,Y,Level3,Unknown,Group3,1,None/Unknown,1591
Age Group4,Y,Level5,Homeowner,Group2,1,None/Unknown,1595
Age Group3,Y,Level4,Probable Owner,Group5,2,None/Unknown,1604
Age Group4,X,Level8,Homeowner,Group4,5+,3+,1609
Age Group3,X,Level6,Homeowner,Group3,2,None/Unknown,1618
Age Group2,Y,Level4,Unknown,Group2,1,None/Unknown,1627
Age Group1,Z,Level1,Renter,Group1,4,3+,1631
Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown,1633
Age Group2,X,Level4,Homeowner,Group4,5+,3+,1634
Age Group3,Y,Level2,Probable Renter,Group3,1,None/Unknown,1648
Age Group3,Z,Level9,Homeowner,Group2,1,None/Unknown,1649
Age Group4,X,Level6,Homeowner,Group4,3,1,1650
Age Group3,Z,Level1,Homeowner,Group3,1,None/Unknown,1653
Age Group3,Y,Level9,Homeowner,Group5,2,None/Unknown,1662
Age Group3,Y,Level6,Unknown,Group5,2,None/Unknown,1676
Age Group4,X,Level6,Homeowner,Group5,2,None/Unknown,1677
Age Group4,Y,Level6,Unknown,Group3,1,None/Unknown,1678
Age Group2,X,Level2,Homeowner,Group4,3,1,1680
Age Group4,Y,Level2,Homeowner,Group5,2,None/Unknown,1686
Age Group4,Y,Level5,Unknown,Group6,1,None/Unknown,1689
Age Group3,Y,Level5,Unknown,Group6,1,None/Unknown,1692
Age Group2,X,Level4,Homeowner,Group4,3,1,1693
Age Group3,Y,Level2,Probable Renter,Group3,1,None/Unknown,1694
Age Group3,Y,Level3,Homeowner,Group2,1,None/Unknown,1695
Age Group4,X,Level5,Homeowner,Group4,3,1,1696
Age Group3,Z,Level3,Unknown,Group3,1,None/Unknown,1707
Age Group4,Y,Level3,Unknown,Group3,1,None/Unknown,1708
Age Group2,X,Level4,Unknown,Group4,3,1,1709
Age Group3,X,Level9,Homeowner,Group2,2,None/Unknown,1710
Age Group4,Y,Level5,Unknown,Group6,1,None/Unknown,1720
Age Group4,Y,Level2,Unknown,Group5,2,None/Unknown,1722
Age Group5,Y,Level6,Homeowner,Group3,1,None/Unknown,1726
Age Group1,Y,Level12,Unknown,Group3,1,None/Unknown,1740
Age Group4,X,Level1,Unknown,Group2,2,None/Unknown,1745
Age Group4,Y,Level4,Unknown,Group2,1,None/Unknown,1748
Age Group5,Z,Level4,Homeowner,Group2,1,None/Unknown,1749
Age Group2,X,Level2,Renter,Group4,4,2,1751
Age Group4,Y,Level4,Homeowner,Group6,1,None/Unknown,1753
Age Group3,Y,Level4,Unknown,Group4,5+,3+,1759
Age Group4,X,Level8,Homeowner,Group4,5+,3+,1762
Age Group4,X,Level6,Homeowner,Group4,4,2,1764
Age Group4,Y,Level4,Unknown,Group2,1,None/Unknown,1765
Age Group4,X,Level6,Homeowner,Group4,5+,3+,1775
Age Group2,X,Level4,Homeowner,Group5,2,None/Unknown,1778
Age Group6,X,Level6,Homeowner,Group5,2,None/Unknown,1779
Age Group2,X,Level4,Homeowner,Group4,5+,3+,1785
Age Group3,X,Level6,Homeowner,Group5,2,None/Unknown,1788
Age Group4,Z,Level7,Homeowner,Group5,2,None/Unknown,1791
Age Group4,Y,Level3,Homeowner,Group5,2,None/Unknown,1795
Age Group1,Y,Level4,Unknown,Group3,1,None/Unknown,1796
Age Group6,Y,Level1,Homeowner,Group3,1,None/Unknown,1797
Age Group3,X,Level10,Homeowner,Group5,2,None/Unknown,1800
Age Group4,Y,Level9,Homeowner,Group5,2,None/Unknown,1802
Age Group1,X,Level5,Homeowner,Group4,3,1,1803
Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown,1804
Age Group4,Y,Level5,Unknown,Group3,1,None/Unknown,1812
Age Group6,Y,Level9,Homeowner,Group5,2,None/Unknown,1814
Age Group4,Y,Level3,Unknown,Group5,2,None/Unknown,1815
Age Group1,Z,Level1,Renter,Group4,5+,3+,1816
Age Group4,X,Level9,Homeowner,Group5,2,None/Unknown,1820
Age Group5,Y,Level4,Unknown,Group5,2,None/Unknown,1822
Age Group4,X,Level6,Homeowner,Group5,2,None/Unknown,1823
Age Group6,X,Level6,Homeowner,Group3,2,None/Unknown,1829
Age Group5,Y,Level6,Homeowner,Group2,1,None/Unknown,1831
Age Group2,Y,Level3,Homeowner,Group1,5+,3+,1833
Age Group4,Y,Level8,Homeowner,Group6,5+,3+,1834
Age Group4,Z,Level4,Homeowner,Group5,2,None/Unknown,1841
Age Group4,X,Level12,Homeowner,Group5,2,None/Unknown,1844
Age Group4,Y,Level10,Unknown,Group4,3,1,1845
Age Group4,Y,Level10,Unknown,Group3,1,None/Unknown,1847
Age Group4,X,Level6,Homeowner,Group6,3,1,1848
Age Group6,X,Level6,Homeowner,Group3,2,None/Unknown,1850
Age Group2,Z,Level9,Homeowner,Group3,1,None/Unknown,1858
Age Group2,Y,Level2,Homeowner,Group4,4,2,1861
Age Group4,Y,Level8,Homeowner,Group1,5+,3+,1864
Age Group4,Y,Level5,Homeowner,Group6,1,None/Unknown,1865
Age Group1,X,Level4,Renter,Group5,2,None/Unknown,1869
Age Group3,Y,Level2,Unknown,Group2,1,None/Unknown,1873
Age Group6,X,Level4,Unknown,Group2,2,None/Unknown,1879
Age Group3,X,Level4,Homeowner,Group4,3,1,1892
Age Group3,X,Level7,Homeowner,Group5,2,None/Unknown,1894
Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown,1896
Age Group2,X,Level3,Homeowner,Group4,3,1,1899
Age Group4,Y,Level4,Homeowner,Group4,3,1,1901
Age Group2,Z,Level5,Unknown,Group2,1,None/Unknown,1907
Age Group3,X,Level5,Unknown,Group2,2,None/Unknown,1911
Age Group5,Z,Level6,Homeowner,Group3,1,None/Unknown,1914
Age Group6,Y,Level2,Unknown,Group3,1,None/Unknown,1917
Age Group3,X,Level4,Homeowner,Group1,5+,3+,1919
Age Group5,X,Level5,Homeowner,Group5,2,None/Unknown,1920
Age Group3,X,Level4,Homeowner,Group5,2,None/Unknown,1921
Age Group1,Z,Level4,Renter,Group3,1,None/Unknown,1923
Age Group2,Y,Level4,Homeowner,Group5,2,None/Unknown,1926
Age Group1,Y,Level1,Unknown,Group6,1,None/Unknown,1927
Age Group3,Z,Level6,Homeowner,Group4,3,1,1928
Age Group3,Z,Level3,Homeowner,Group2,1,None/Unknown,1929
Age Group4,Y,Level5,Homeowner,Group6,1,None/Unknown,1931
Age Group5,X,Level9,Homeowner,Group5,2,None/Unknown,1935
Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown,1937
Age Group3,X,Level5,Homeowner,Group5,2,None/Unknown,1939
Age Group2,Y,Level8,Homeowner,Group4,4,2,1944
Age Group2,Y,Level6,Unknown,Group2,1,None/Unknown,1946
Age Group3,Y,Level5,Homeowner,Group3,1,None/Unknown,1948
Age Group4,Y,Level1,Unknown,Group3,1,None/Unknown,1949
Age Group4,Y,Level5,Homeowner,Group6,1,None/Unknown,1953
Age Group2,Y,Level4,Unknown,Group2,1,None/Unknown,1955
Age Group6,Y,Level3,Unknown,Group5,2,None/Unknown,1962
Age Group6,Y,Level1,Renter,Group2,1,None/Unknown,1964
Age Group2,X,Level5,Homeowner,Group4,3,1,1965
Age Group3,Z,Level6,Renter,Group2,1,None/Unknown,1975
Age Group2,X,Level5,Homeowner,Group4,5+,3+,1976
Age Group4,Y,Level9,Unknown,Group4,3,1,1979
Age Group5,X,Level5,Homeowner,Group3,2,None/Unknown,1980
Age Group2,Y,Level7,Unknown,Group2,1,None/Unknown,1982
Age Group2,Y,Level5,Unknown,Group6,5+,3+,1985
Age Group6,Y,Level2,Homeowner,Group3,1,None/Unknown,1989
Age Group3,X,Level8,Homeowner,Group4,5+,3+,1990
Age Group2,Z,Level3,Unknown,Group1,3,2,1995
Age Group2,Y,Level5,Unknown,Group2,1,None/Unknown,1997
Age Group3,Y,Level4,Homeowner,Group3,1,None/Unknown,2002
Age Group4,Y,Level5,Unknown,Group6,1,None/Unknown,2004
Age Group4,Y,Level1,Unknown,Group2,1,None/Unknown,2006
Age Group4,X,Level5,Homeowner,Group4,3,1,2007
Age Group4,Y,Level6,Homeowner,Group2,1,None/Unknown,2011
Age Group4,X,Level3,Renter,Group2,2,None/Unknown,2012
Age Group1,Y,Level3,Unknown,Group3,1,None/Unknown,2013
Age Group4,X,Level6,Homeowner,Group5,2,None/Unknown,2017
Age Group4,Y,Level5,Unknown,Group6,1,None/Unknown,2018
Age Group3,X,Level7,Unknown,Group4,5+,3+,2020
Age Group4,Y,Level4,Homeowner,Group4,3,1,2023
Age Group2,Z,Level8,Homeowner,Group5,2,None/Unknown,2024
Age Group3,Z,Level6,Homeowner,Group3,1,None/Unknown,2030
Age Group2,Y,Level3,Homeowner,Group2,1,None/Unknown,2040
Age Group3,Z,Level4,Renter,Group5,2,None/Unknown,2041
Age Group3,X,Level3,Homeowner,Group4,5+,3+,2050
Age Group4,X,Level2,Homeowner,Group5,2,None/Unknown,2053
Age Group3,X,Level4,Homeowner,Group5,2,None/Unknown,2057
Age Group2,Z,Level8,Homeowner,Group5,2,None/Unknown,2058
Age Group2,Y,Level3,Unknown,Group5,2,None/Unknown,2062
Age Group5,X,Level6,Homeowner,Group5,2,None/Unknown,2063
Age Group1,Y,Level5,Unknown,Group3,1,None/Unknown,2064
Age Group5,X,Level5,Homeowner,Group3,2,None/Unknown,2068
Age Group3,Y,Level2,Unknown,Group3,1,None/Unknown,2069
Age Group4,Y,Level5,Unknown,Group6,1,None/Unknown,2070
Age Group2,X,Level7,Homeowner,Group4,3,1,2076
Age Group4,X,Level1,Homeowner,Group4,3,1,2082
Age Group5,X,Level8,Homeowner,Group5,2,None/Unknown,2084
Age Group3,X,Level4,Homeowner,Group5,2,None/Unknown,2085
Age Group4,X,Level3,Homeowner,Group5,2,None/Unknown,2086
Age Group4,Z,Level7,Homeowner,Group6,1,None/Unknown,2087
Age Group2,Y,Level4,Unknown,Group3,1,None/Unknown,2088
Age Group3,X,Level1,Homeowner,Group1,3,1,2092
Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown,2094
Age Group3,X,Level2,Homeowner,Group4,5+,3+,2097
Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown,2100
Age Group5,X,Level10,Homeowner,Group5,2,None/Unknown,2102
Age Group3,X,Level6,Homeowner,Group4,5+,3+,2107
Age Group3,X,Level8,Homeowner,Group5,2,None/Unknown,2110
Age Group4,Y,Level6,Homeowner,Group5,2,None/Unknown,2111
Age Group4,X,Level4,Homeowner,Group4,5+,3+,2112
Age Group3,X,Level9,Homeowner,Group4,5+,3+,2115
Age Group3,X,Level6,Homeowner,Group4,5+,3+,2116
Age Group2,Y,Level5,Homeowner,Group2,1,None/Unknown,2119
Age Group5,Z,Level4,Homeowner,Group5,2,None/Unknown,2121
Age Group4,Y,Level6,Homeowner,Group5,2,None/Unknown,2123
Age Group2,X,Level5,Homeowner,Group4,4,2,2124
Age Group2,Y,Level4,Unknown,Group1,2,1,2129
Age Group2,Z,Level5,Homeowner,Group3,1,None/Unknown,2130
Age Group5,X,Level7,Unknown,Group5,2,None/Unknown,2133
Age Group3,Y,Level4,Unknown,Group3,1,None/Unknown,2134
Age Group6,X,Level2,Homeowner,Group5,2,None/Unknown,2140
Age Group2,X,Level6,Homeowner,Group4,3,1,2147
Age Group5,X,Level4,Homeowner,Group4,4,2,2148
Age Group4,X,Level4,Homeowner,Group5,2,None/Unknown,2154
Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown,2156
Age Group2,Z,Level5,Probable Renter,Group3,1,None/Unknown,2158
Age Group4,Y,Level6,Homeowner,Group6,1,None/Unknown,2162
Age Group3,Y,Level5,Unknown,Group3,1,None/Unknown,2168
Age Group2,X,Level7,Homeowner,Group5,2,None/Unknown,2172
Age Group2,Y,Level4,Unknown,Group5,2,None/Unknown,2173
Age Group4,X,Level4,Homeowner,Group4,3,1,2179
Age Group5,X,Level7,Homeowner,Group4,3,1,2181
Age Group4,X,Level6,Homeowner,Group5,2,None/Unknown,2182
Age Group6,X,Level3,Homeowner,Group5,2,None/Unknown,2183
Age Group2,Y,Level5,Unknown,Group3,1,None/Unknown,2184
Age Group2,Y,Level8,Homeowner,Group4,4,2,2185
Age Group3,Y,Level3,Unknown,Group3,1,None/Unknown,2186
Age Group6,Z,Level4,Homeowner,Group5,2,None/Unknown,2188
Age Group3,X,Level5,Homeowner,Group4,4,2,2190
Age Group2,X,Level5,Homeowner,Group5,2,None/Unknown,2193
Age Group5,Z,Level3,Homeowner,Group2,1,None/Unknown,2194
Age Group3,Z,Level3,Unknown,Group3,1,None/Unknown,2198
Age Group1,Y,Level5,Unknown,Group4,3,1,2199
Age Group4,Y,Level1,Unknown,Group2,1,None/Unknown,2200
Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown,2203
Age Group3,Y,Level5,Unknown,Group1,3,2,2208
Age Group2,X,Level4,Renter,Group4,5+,3+,2209
Age Group3,Z,Level2,Unknown,Group3,1,None/Unknown,2217
Age Group6,Z,Level4,Homeowner,Group2,1,None/Unknown,2221
Age Group1,Z,Level12,Homeowner,Group2,1,None/Unknown,2224
Age Group3,X,Level11,Homeowner,Group5,2,None/Unknown,2231
Age Group2,Z,Level9,Homeowner,Group2,1,None/Unknown,2233
Age Group6,X,Level1,Homeowner,Group5,2,None/Unknown,2234
Age Group4,Y,Level10,Homeowner,Group4,3,1,2235
Age Group4,Y,Level5,Homeowner,Group3,1,None/Unknown,2237
Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown,2243
Age Group3,Y,Level6,Unknown,Group6,1,None/Unknown,2250
Age Group4,X,Level5,Homeowner,Group4,4,2,2252
Age Group1,Y,Level4,Unknown,Group2,1,None/Unknown,2254
Age Group4,Y,Level3,Homeowner,Group3,1,None/Unknown,2260
Age Group4,X,Level12,Homeowner,Group5,2,None/Unknown,2264
Age Group2,Z,Level4,Homeowner,Group2,1,None/Unknown,2266
Age Group5,X,Level4,Homeowner,Group5,2,None/Unknown,2269
Age Group6,X,Level3,Homeowner,Group5,2,None/Unknown,2272
Age Group2,Y,Level5,Unknown,Group5,2,None/Unknown,2279
Age Group3,Y,Level2,Homeowner,Group4,3,1,2280
Age Group5,Z,Level10,Homeowner,Group3,1,None/Unknown,2282
Age Group4,X,Level12,Homeowner,Group5,2,None/Unknown,2284
Age Group4,X,Level4,Renter,Group4,5+,3+,2292
Age Group4,Z,Level3,Renter,Group4,4,2,2294
Age Group3,Z,Level4,Renter,Group2,1,None/Unknown,2295
Age Group3,Y,Level8,Homeowner,Group5,2,None/Unknown,2296
Age Group6,X,Level5,Probable Renter,Group3,2,None/Unknown,2298
Age Group4,Y,Level5,Homeowner,Group5,2,None/Unknown,2300
Age Group3,X,Level4,Homeowner,Group1,3,1,2302
Age Group4,Z,Level5,Homeowner,Group3,1,None/Unknown,2305
Age Group4,X,Level6,Homeowner,Group4,3,1,2307
Age Group4,X,Level12,Homeowner,Group5,2,None/Unknown,2312
Age Group4,X,Level8,Homeowner,Group5,2,None/Unknown,2314
Age Group3,X,Level5,Homeowner,Group4,5+,3+,2317
Age Group1,Y,Level1,Unknown,Group3,1,None/Unknown,2318
Age Group4,Y,Level10,Homeowner,Group2,1,None/Unknown,2322
Age Group3,X,Level5,Homeowner,Group5,2,None/Unknown,2324
Age Group4,Y,Level12,Homeowner,Group5,2,None/Unknown,2328
Age Group4,Y,Level5,Homeowner,Group6,1,None/Unknown,2330
Age Group3,X,Level4,Homeowner,Group4,5+,3+,2331
Age Group3,Y,Level5,Homeowner,Group6,1,None/Unknown,2334
Age Group6,Y,Level1,Homeowner,Group1,3,2,2337
Age Group4,Y,Level5,Homeowner,Group6,1,None/Unknown,2341
Age Group5,Y,Level7,Homeowner,Group6,1,None/Unknown,2342
Age Group1,Y,Level5,Unknown,Group2,1,None/Unknown,2343
Age Group4,Y,Level4,Unknown,Group5,2,None/Unknown,2347
Age Group4,X,Level6,Homeowner,Group5,2,None/Unknown,2351
Age Group4,X,Level3,Homeowner,Group5,2,None/Unknown,2359
Age Group2,Z,Level5,Homeowner,Group6,1,None/Unknown,2360
Age Group2,Y,Level4,Unknown,Group5,2,None/Unknown,2361
Age Group4,X,Level3,Renter,Group5,2,None/Unknown,2364
Age Group4,Y,Level1,Unknown,Group5,2,None/Unknown,2367
Age Group2,X,Level1,Homeowner,Group5,2,None/Unknown,2370
Age Group4,Y,Level9,Homeowner,Group5,2,None/Unknown,2374
Age Group4,Y,Level4,Unknown,Group3,1,None/Unknown,2376
Age Group2,X,Level5,Unknown,Group4,5+,3+,2378
Age Group4,Y,Level5,Homeowner,Group6,1,None/Unknown,2380
Age Group2,X,Level5,Unknown,Group3,2,None/Unknown,2390
Age Group3,Y,Level6,Homeowner,Group2,1,None/Unknown,2393
Age Group6,Z,Level8,Unknown,Group5,2,None/Unknown,2397
Age Group3,X,Level3,Homeowner,Group4,3,1,2400
Age Group2,Y,Level2,Unknown,Group3,1,None/Unknown,2405
Age Group2,X,Level8,Homeowner,Group4,3,1,2406
Age Group4,X,Level7,Homeowner,Group5,2,None/Unknown,2407
Age Group6,X,Level1,Homeowner,Group5,2,None/Unknown,2411
Age Group4,Y,Level2,Unknown,Group4,3,1,2420
Age Group4,X,Level9,Homeowner,Group4,5+,3+,2421
Age Group1,Y,Level1,Probable Renter,Group3,1,None/Unknown,2426
Age Group3,X,Level5,Homeowner,Group4,3,1,2427
Age Group1,Y,Level4,Unknown,Group3,1,None/Unknown,2432
Age Group4,Y,Level5,Homeowner,Group1,5+,3+,2435
Age Group3,X,Level8,Homeowner,Group4,5+,3+,2437
Age Group4,Y,Level4,Unknown,Group6,1,None/Unknown,2445
Age Group3,Y,Level8,Homeowner,Group5,2,None/Unknown,2446
Age Group3,X,Level3,Homeowner,Group5,2,None/Unknown,2447
Age Group4,X,Level5,Homeowner,Group5,2,None/Unknown,2448
Age Group3,X,Level10,Homeowner,Group4,5+,3+,2449
Age Group4,Z,Level5,Homeowner,Group3,1,None/Unknown,2453
Age Group4,Z,Level3,Homeowner,Group5,2,None/Unknown,2455
Age Group6,X,Level2,Homeowner,Group3,2,None/Unknown,2465
Age Group3,X,Level6,Homeowner,Group4,3,1,2467
Age Group2,Y,Level9,Homeowner,Group5,2,None/Unknown,2479
Age Group4,Z,Level6,Homeowner,Group2,1,None/Unknown,2483
Age Group3,Z,Level3,Unknown,Group2,1,None/Unknown,2486
Age Group4,Z,Level4,Homeowner,Group3,1,None/Unknown,2488
Age Group3,X,Level5,Homeowner,Group5,2,None/Unknown,2489
Age Group3,Y,Level5,Homeowner,Group5,2,None/Unknown,2494
Age Group4,X,Level6,Homeowner,Group6,3,1,2496
Age Group4,Y,Level4,Unknown,Group2,1,None/Unknown,2497
Age Group2,Y,Level5,Homeowner,Group5,2,None/Unknown,2498
Age Group2,Y,Level1,Unknown,Group4,3,1,2499
